Date,Price,Open,High,Low,Volume
05/12/2023,172.57,173.62,174.06,171.0,45530000
05/11/2023,173.75,173.85,174.59,172.17,49510000
05/10/2023,173.55,173.02,174.03,171.9,53720000
05/09/2023,171.77,173.05,173.54,171.6,45330000
05/08/2023,173.5,172.48,173.85,172.11,55960000
05/05/2023,173.57,170.98,174.3,170.76,113450000
05/04/2023,165.79,164.89,167.04,164.31,70380000
05/03/2023,167.45,169.5,170.92,167.16,59440000
05/02/2023,168.54,170.09,170.35,167.54,48430000
05/01/2023,169.59,169.28,170.45,168.64,49390000
04/28/2023,169.68,168.49,169.85,167.88,55280000
04/27/2023,168.41,165.19,168.56,165.19,64220000
04/26/2023,163.76,163.05,165.28,162.8,44110000
04/25/2023,163.77,165.19,166.3,163.73,48170000
04/24/2023,165.33,165.0,165.6,163.89,38990000
04/21/2023,165.02,165.05,166.45,164.49,58340000
04/20/2023,166.65,166.09,167.87,165.56,52460000
04/19/2023,167.63,165.8,168.16,165.54,47240000
04/18/2023,166.47,166.1,167.41,165.65,48410000
04/17/2023,165.23,165.09,165.39,164.03,41520000
04/14/2023,165.21,164.59,166.32,163.82,49390000
04/13/2023,165.56,161.63,165.8,161.42,67160000
04/12/2023,160.1,161.22,162.06,159.78,49400000
04/11/2023,160.8,162.35,162.36,160.51,46310000
04/10/2023,162.03,161.42,162.03,160.08,47030000
04/06/2023,164.66,162.43,164.96,162.0,45390000
04/05/2023,163.76,164.74,165.05,161.8,51300000
04/04/2023,165.63,166.6,166.84,165.11,44430000
04/03/2023,166.17,164.27,166.29,164.22,54970000
03/31/2023,164.9,162.44,165.0,161.91,68750000
03/30/2023,162.36,161.53,162.47,161.27,46810000
03/29/2023,160.77,159.37,161.05,159.35,51310000
03/28/2023,157.65,157.97,158.49,155.98,45580000
03/27/2023,158.28,159.94,160.77,157.87,50420000
03/24/2023,160.25,158.86,160.34,157.85,59260000
03/23/2023,158.93,158.83,161.55,157.68,67220000
03/22/2023,157.83,159.3,162.14,157.81,69170000
03/21/2023,159.28,157.32,159.4,156.54,73760000
03/20/2023,157.4,155.07,157.82,154.15,73470000
03/17/2023,155.0,156.08,156.74,154.28,98940000
03/16/2023,155.85,152.16,156.46,151.64,76020000
03/15/2023,152.99,151.19,153.24,149.92,75960000
03/14/2023,152.59,151.28,153.4,150.1,73370000
03/13/2023,150.47,147.8,153.14,147.7,84460000
03/10/2023,148.5,150.21,150.94,147.61,68570000
03/09/2023,150.59,153.56,154.54,150.23,53450000
03/08/2023,152.87,152.81,153.47,151.83,47200000
03/07/2023,151.6,153.7,154.03,151.13,56180000
03/06/2023,153.83,153.79,156.3,153.46,87560000
03/03/2023,151.03,148.04,151.11,147.33,70500000
03/02/2023,145.91,144.38,146.71,143.9,52090000
03/01/2023,145.31,146.83,147.23,145.01,55220000
02/28/2023,147.41,147.05,149.08,146.83,50550000
02/27/2023,147.92,147.71,149.17,147.45,45000000
02/24/2023,146.71,147.11,147.19,145.72,55470000
02/23/2023,149.4,150.09,150.34,147.24,48390000
02/22/2023,148.91,148.87,149.95,147.16,51010000
02/21/2023,148.48,150.2,151.3,148.4,58870000
02/17/2023,152.55,152.35,153.0,150.85,59140000
02/16/2023,153.71,153.51,156.33,153.35,66840000
02/15/2023,155.33,153.11,155.5,152.88,65470000
02/14/2023,153.2,152.12,153.77,150.86,61710000
02/13/2023,153.85,150.95,154.26,150.92,61860000
02/10/2023,151.01,149.46,151.34,149.22,57450000
02/09/2023,150.87,153.77,154.33,150.42,54900000
02/08/2023,151.92,153.88,154.58,151.17,63470000
02/07/2023,154.65,150.64,155.23,150.64,83030000
02/06/2023,151.73,152.57,153.1,150.78,68020000
02/03/2023,154.5,148.03,157.38,147.83,154360000
02/02/2023,150.82,148.9,151.18,148.17,104480000
02/01/2023,145.43,143.97,146.61,141.32,76770000
01/31/2023,144.29,142.7,144.34,142.28,65870000
01/30/2023,143.0,144.96,145.55,142.85,62980000
01/27/2023,145.93,143.15,147.23,143.08,70560000
01/26/2023,143.96,143.17,144.25,141.9,53650000
01/25/2023,141.86,140.89,142.43,138.81,64690000
01/24/2023,142.53,140.3,143.16,140.3,63710000
01/23/2023,141.11,138.12,143.32,137.9,81570000
01/20/2023,137.87,135.28,138.02,134.22,80220000
01/19/2023,135.27,134.08,136.25,133.77,58070000
01/18/2023,135.21,136.82,138.61,135.03,69670000
01/17/2023,135.94,134.83,137.29,134.13,63420000
01/13/2023,134.76,132.03,134.92,131.66,57810000
01/12/2023,133.41,133.88,134.26,131.44,71250000
01/11/2023,133.49,131.25,133.51,130.46,69120000
01/10/2023,130.73,130.26,131.26,128.12,63430000
01/09/2023,130.15,130.46,133.41,129.89,70500000
01/06/2023,129.62,126.01,130.29,124.89,87760000
01/05/2023,125.02,127.13,127.77,124.76,79970000
01/04/2023,126.36,126.89,128.66,125.08,88460000
01/03/2023,125.07,130.28,130.9,124.17,111680000
12/30/2022,129.93,128.41,129.95,127.43,77030000
12/29/2022,129.61,127.99,130.48,127.73,75480000
12/28/2022,126.04,129.67,131.03,125.87,84900000
12/27/2022,130.03,131.38,131.41,128.72,68750000
12/23/2022,131.86,130.92,132.41,129.64,63820000
12/22/2022,132.23,134.35,134.56,130.3,77590000
12/21/2022,135.45,132.98,136.81,132.75,85750000
12/20/2022,132.3,131.39,133.25,129.89,77080000
12/19/2022,132.37,135.11,135.2,131.32,79150000
12/16/2022,134.51,136.68,137.65,133.73,160160000
12/15/2022,136.5,141.11,141.8,136.02,97250000
12/14/2022,143.21,145.35,146.65,141.16,82290000
12/13/2022,145.47,149.5,149.97,144.24,93730000
12/12/2022,144.49,142.7,144.5,141.06,70310000
12/09/2022,142.16,142.34,145.57,140.9,76100000
12/08/2022,142.65,142.36,143.52,141.1,61910000
12/07/2022,140.94,142.19,143.37,140.0,69510000
12/06/2022,142.91,147.07,147.3,141.92,64519999
12/05/2022,146.63,147.77,150.92,145.77,68390000
12/02/2022,147.81,145.96,148.0,145.65,65450000
12/01/2022,148.31,148.21,149.13,146.61,71250000
11/30/2022,148.03,141.4,148.72,140.55,111380000
11/29/2022,141.17,144.29,144.81,140.35,83760000
11/28/2022,144.22,145.14,146.64,143.38,69350000
11/25/2022,148.11,148.3,148.88,147.12,35200000
11/23/2022,151.07,149.45,151.83,149.34,58300000
11/22/2022,150.18,148.13,150.42,146.93,51800000
11/21/2022,148.01,150.16,150.37,147.71,58720000
11/18/2022,151.29,152.3,152.7,149.97,74830000
11/17/2022,150.72,146.43,151.48,146.15,80390000
11/16/2022,148.79,149.13,149.87,147.29,64220000
11/15/2022,150.04,152.21,153.59,148.56,89870000
11/14/2022,148.28,148.97,150.28,147.43,73370000
11/11/2022,149.7,145.82,150.01,144.37,93980000
11/10/2022,146.87,141.24,146.87,139.5,118850000
11/09/2022,134.87,138.5,138.55,134.59,74920000
11/08/2022,139.5,140.41,141.43,137.49,89910000
11/07/2022,138.92,137.11,139.15,135.67,83380000
11/04/2022,138.38,142.09,142.67,134.38,140820000
11/03/2022,138.88,142.06,142.8,138.75,97920000
11/02/2022,145.03,148.95,152.17,145.0,93610000
