Name,Accuracy,Status,Leak,Leak Link,domain,datetime,slopes_before,slopes_after,class,stock_of_prev_day,Sentiment Twitter,Sentiment SST2,Sentiment Financial News,Manual Label
👨‍💻 Ming-Chi Kuo,72.5,⛔️,Smaller wireless charging mat coming in first half of 2020,https://9to5mac.com/2020/01/29/kuo-forecasts-new-apple-products-coming-this-year-including-wireless-charging-mat-uwb-tags-and-high-end-headphones/,9to5mac.com,29.01.20,0.116071429,0.063214286,Neutral,81.08,neutral,NEGATIVE,neutral,positive
🕘 9to5Mac,82.8,✅,watchOS 7 can share watch faces,https://9to5mac.com/2020/03/09/apple-watch-series-6-watchos-7-features/,9to5mac.com,09.03.20,-0.335,-1.103214286,Significantly Negative,66.54,neutral,POSITIVE,neutral,positive
🏀 Mark Gurman,86.4,⏳,Future Mac will have Face ID,https://www.bloomberg.com/news/articles/2021-01-22/apple-aapl-plans-new-macbook-air-with-magsafe-macbook-pro-with-sd-card-slot,bloomberg.com,22.01.21,1.619642857,-1.527857143,Significantly Negative,139.07,neutral,POSITIVE,neutral,positive
📱 Jeff Pu,50,✅,12.9-inch iPad Pro getting Mini-LED display,https://www.macrumors.com/2020/05/26/apple-mini-led-2021/,macrumors.com,26.05.20,0.344285714,0.35,Positive,79.18,neutral,NEGATIVE,neutral,positive
🕘 9to5Mac,82.8,⛔️,AirPods Max will have reversibility,https://9to5mac.com/2020/05/11/airpods-studio-features-exclusive/,9to5mac.com,11.05.20,1.0525,0.013928571,Neutral,78.75,positiv,NEGATIVE,neutral,positive
👨‍💻 Ming-Chi Kuo,72.5,⏳,Apple AR/VR headset has Mac computing power,https://appletrack.com/kuo-apples-ar-headset-will-launch-in-q4-of-2022/,appletrack.com,27.11.21,0.677142857,1.068928571,Significantly Positive,156.81,neutral,POSITIVE,neutral,positive
🕘 9to5Mac,82.8,✅,AirTags can be setup in bulk,https://9to5mac.com/2020/03/10/ios-14-iphone-9-ipad-pro-apple-tv/,9to5mac.com,10.03.20,-0.897142857,-1.491785714,Significantly Negative,71.33,neutral,NEGATIVE,neutral,positive
🏀 Mark Gurman,86.4,⛔️,2021 MacBook Pro will have minor design changes,https://www.bloomberg.com/news/articles/2021-01-15/apple-macbook-pros-with-magsafe-return-in-the-works,bloomberg.com,15.01.21,-0.561071429,3.045714286,Significantly Positive,127.14,neutral,NEGATIVE,neutral,negative
🏀 Mark Gurman,86.4,⏳,Next Apple Silicon will have 64/128 dedicated graphics cores,https://www.bloomberg.com/news/articles/2020-12-07/apple-preps-next-mac-chips-with-aim-to-outclass-highest-end-pcs,bloomberg.com,07.12.20,1.003571429,0.279285714,Positive,123.75,neutral,NEGATIVE,neutral,positive
👨‍💻 Ming-Chi Kuo,72.5,⏳,2022 iPhones will have 6.7-inch model under $900,https://appletrack.com/2022-iphone-lineup-to-consist-of-multiple-6-7-inch-max-models-under-display-touch-id-also-coming/,appletrack.com,23.06.21,0.726785714,0.751071429,Positive,133.7,neutral,NEGATIVE,neutral,positive
